E03_id;E06_id_001;id;creatorType;creatorID;creator;E06_title;title;holder_IRI;library;contentType;refCode;representationType;language;publishingPlace_id;publishingPlace;publisherID;publisherType;publisher;publishingDate
E03_101435815099;E06_101435815099_001;101435815099;Person;https://www.wikidata.org/wiki/Q28168561;Hegglin, Walther A.;Instantiation - Der Ochsen in Zug : 75 Jahre im Besitz der Familie Hegglin;Der Ochsen in Zug : 75 Jahre im Besitz der Familie Hegglin;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 1603;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Kalt-Zehnder;CorporateBody;Kalt-Zehnder;1997
E03_101499567099;E06_101499567099_001;101499567099;;;;Instantiation - Auf dem Gipfel! : das EVZ-Meisterwerk;Auf dem Gipfel! : das EVZ-Meisterwerk;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 1717;Buch;Deutsch;Q68144;Zug ;https://www.wikidata.org/wiki/Q662592;CorporateBody;EVZ;1998
E03_101732699099;E06_101732699099_001;101732699099;Person;http://example.org/base/Bieler, Anton;Bieler, Anton;Instantiation - Geschichtliches zu einigen älteren Zuger Drucken;Geschichtliches zu einigen älteren Zuger Drucken;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TB 1960;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Zürcher;CorporateBody;Zürcher;1954
E03_101732701099;E06_101732701099_001;101732701099;Person;https://www.wikidata.org/wiki/Q532343;Etter, Philipp;Instantiation - Am Aserfeuer : Jagderinnerungen;Am Aserfeuer : Jagderinnerungen;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TB 1958;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Zürchers Erben;CorporateBody;Zürchers Erben;1952
E03_101770798099;E06_101770798099_001;101770798099;;;;Instantiation - Stadtbibliothek Zug : zur Eröffnung der Stadt- und Kantonsbibliothek Zug;Stadtbibliothek Zug : zur Eröffnung der Stadt- und Kantonsbibliothek Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Buch;T 7124;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Speck;Person;Speck;1986
E03_101786340099;E06_101786340099_001;101786340099;;;;Instantiation - Oeffentliche Bauten der Stadt Zug : Sporthalle Zug Herti;Oeffentliche Bauten der Stadt Zug : Sporthalle Zug Herti;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 2181;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Baudepartement;CorporateBody;Baudepartement;2001
E03_101914585099;E06_101914585099_001;101914585099;;;;Instantiation - Website der Stadt- und Kantonsbibliothek Zug : August 1999 - Dezember 2003;Website der Stadt- und Kantonsbibliothek Zug : August 1999 - Dezember 2003;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 2567;Buch;Deutsch;Q68144;Zug ;https://www.wikidata.org/wiki/Q856475;CorporateBody;Bibliothek;2003
E03_102097630099;E06_102097630099_001;102097630099;;;;Instantiation - Neue Eissportanlagen Herti Zug : Bericht des Auswahlgremiums zu den eingereichten Ueberbauungskonzepten;Neue Eissportanlagen Herti Zug : Bericht des Auswahlgremiums zu den eingereichten Ueberbauungskonzepten;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 3086;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Finanzdepartement (u.a.);CorporateBody;Finanzdepartement (u.a.);2004
E03_102158959099;E06_102158959099_001;102158959099;;;;Instantiation - Eine Zeitreise : 1857-2007;Eine Zeitreise : 1857-2007;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 3314;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Kantonsspital;CorporateBody;Kantonsspital;2007
E03_102247897099;E06_102247897099_001;102247897099;;;;Instantiation - TMGZ - ein Dialog;TMGZ - ein Dialog;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Buch;T 8949;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Kalt-Zehnder;CorporateBody;Kalt-Zehnder;2008
E03_102425334099;E06_102425334099_001;102425334099;;;;Instantiation - Benützungsreglement der Stadtbibliothek Zug;Benützungsreglement der Stadtbibliothek Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TB 14;Buch;Deutsch;Q68144;Zug ;;;;1942
E03_102425475099;E06_102425475099_001;102425475099;;;;Instantiation - Reglement über die Verwaltung der Stadtbibliothek Zug;Reglement über die Verwaltung der Stadtbibliothek Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TB 13;Buch;Deutsch;Q68144;Zug ;;;;1942
E03_102456772099;E06_102456772099_001;102456772099;;;;Instantiation - Die Stadtbibliothek von A-Z;Die Stadtbibliothek von A-Z;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TB 596;Buch;Deutsch;Q68144;Zug ;https://www.wikidata.org/wiki/Q856475;CorporateBody;Stadtbibliothek;1983
E03_102467077099;E06_102467077099_001;102467077099;Person;http://example.org/base/Rüttimann, Carl;Rüttimann, Carl;Instantiation - Erinnerungen an Philipp Etter;Erinnerungen an Philipp Etter;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TB 613;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Zürcher;CorporateBody;Zürcher;1978
E03_102507777099;E06_102507777099_001;102507777099;;;;Instantiation - Zug on Ice : Eröffnung der Bossard Arena, 20. bis 22. August;Zug on Ice : Eröffnung der Bossard Arena, 20. bis 22. August;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 3603;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Neue ZZ;CorporateBody;Neue ZZ;2010
E03_102682140099;E06_102682140099_001;102682140099;;;;Instantiation - Umbau Kantonales Zeughaus Zug : Obergericht und Studienbibliothek;Umbau Kantonales Zeughaus Zug : Obergericht und Studienbibliothek;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 3667;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Baudirektion;CorporateBody;Baudirektion;2011
E03_102768156099;E06_102768156099_001;102768156099;CorporateBody;https://www.wikidata.org/wiki/Q112709824;Theater- und Musikgesellschaft (Zug);Instantiation - Statuten der Theater- und Musikgesellschaft Zug : vom 15. Juli 1910;Statuten der Theater- und Musikgesellschaft Zug : vom 15. Juli 1910;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TB 1310;Buch;Deutsch;Q68144;Zug ;https://www.wikidata.org/wiki/Q112709824;CorporateBody;TMGZ;1910
